Employee_Id,Person ID,Date,Name
26,"CheckInTime2023-09-19 12:49:51	",9/19/2023,"CheckOutTime2023-09-19 21:52:25	"
26,"CheckInTime2023-09-20 12:33:51	",9/20/2023,"CheckOutTime2023-09-20 22:27:09	"
26,"CheckInTime2023-09-21 12:17:40	",9/21/2023,"CheckOutTime2023-09-21 22:22:54	"
26,"CheckInTime2023-09-22 12:36:41	",9/22/2023,"CheckOutTime2023-09-22 23:00:10	"
26,"CheckInTime	",9/23/2023,"CheckOutTime2023-09-23 21:52:34	"
26,"CheckInTime2023-09-28 14:05:02	",9/28/2023,"CheckOutTime	"
27,"CheckInTime2023-09-01 11:31:17	",9/1/2023,"CheckOutTime2023-09-01 21:24:51	"
27,"CheckInTime2023-09-02 11:21:52	",9/2/2023,"CheckOutTime2023-09-02 22:58:00	"
27,"CheckInTime2023-09-04 11:25:55	",9/4/2023,"CheckOutTime2023-09-04 23:15:04	"
27,"CheckInTime2023-09-05 10:57:07	",9/5/2023,"CheckOutTime2023-09-05 22:14:45	"
27,"CheckInTime2023-09-06 11:28:37	",9/6/2023,"CheckOutTime2023-09-06 22:52:13	"
27,"CheckInTime2023-09-08 11:27:10	",9/8/2023,"CheckOutTime2023-09-08 21:47:49	"
27,"CheckInTime2023-09-09 11:22:52	",9/9/2023,"CheckOutTime2023-09-09 21:58:38	"
27,"CheckInTime2023-09-11 11:19:41	",9/11/2023,"CheckOutTime2023-09-12 00:26:18	"
27,"CheckInTime2023-09-12 10:58:54	",9/12/2023,"CheckOutTime2023-09-12 23:49:12	"
27,"CheckInTime2023-09-13 11:39:47	",9/13/2023,"CheckOutTime2023-09-13 21:40:53	"
27,"CheckInTime2023-09-14 11:17:44	",9/14/2023,"CheckOutTime2023-09-14 22:13:03	"
27,"CheckInTime2023-09-15 11:37:15	",9/15/2023,"CheckOutTime2023-09-15 22:42:01	"
27,"CheckInTime2023-09-16 11:10:56	",9/16/2023,"CheckOutTime2023-09-16 22:07:47	"
27,"CheckInTime2023-09-18 11:18:57	",9/18/2023,"CheckOutTime2023-09-19 00:28:54	"
27,"CheckInTime2023-09-19 10:54:02	",9/19/2023,"CheckOutTime2023-09-19 21:57:26	"
27,"CheckInTime2023-09-20 11:21:29	",9/20/2023,"CheckOutTime2023-09-21 00:07:31	"
